German,English
Ich,I
ist,is
nicht,Not
Sie,you
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,you
Das,The
ein,a
in,in
wir,we
Du,You
mir,me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,a
Es,It
hat,Has
Wir,We
Und,And
so,so
sind,are
von,of
dich,you
war,was
haben,to have
f�r,For
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,us
sich,yourself
Die,The
nur,just
einen,one
Nein,No
dem,the
ihn,him
auch,also
hast,has
sein,be
ihr,you
da,there
aus,out
kann,can
aber,but
Aber,But
schon,beautiful
wenn,if
wird,becomes
um,around
Wie,How
als,as
bist,are
im,in the
mal,times
doch,but
gut,Well
meine,my
jetzt,now
wei�,White
Wenn,If
werden,become
Der,The
nach,to
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,you
wieder,again
bei,at
hab,hab
machen,do
vor,in front
Mann,man
ihm,him
einem,one
tun,to do
zum,to the
k�nnen,can
sagen,say
werde,will
denn,because
Ist,is
Ein,A
Warum,Why
einer,one
gehen,walk
sehen,see
sehr,very
geht,going
alle,all
�ber,above
m�ssen,have to
diese,these
einfach,easy
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,them
gibt,gives
wirklich,really
Hey,Hey
Danke,thanks
deine,yours
w�rde,would
soll,should
Da,There
hatte,would have
Hier,Here
wissen,knowledge
bitte,You're welcome
viel,much
Dann,Then
So,So
gesagt,told
Ihr,your
am,at the
kein,no
Komm,come over
Wer,who
zur�ck,back
wurde,has been
In,In
wollte,wanted
Frau,Mrs
Leben,Life
w�re,would
wo,Where
damit,in order to
Nicht,Not
Gott,God
Leute,People
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,coming
kommen,come
willst,want
Na,N / A
wollen,want
sicher,for sure
ganz,all
Jetzt,Now
Mein,My
Mr,mr
also,so
zur,to
Hast,Has
Gut,Well
h�tte,would have
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,makes
waren,were
bis,to
Vielleicht,Maybe
k�nnte,could
Bitte,You're welcome
weg,path
seine,his
lassen,to let
Vater,father
gesehen,seen
Nun,Now
gerade,just
glaube,faith
Tag,Day
ab,from
Geld,money
gemacht,made
nein,No
Sir,Sir
sollte,should
sagte,said
keinen,no
durch,by
zwei,two
diesen,this
passiert,happens
wohl,well
vielleicht,maybe
ihre,your
Mutter,mother
reden,talk
anderen,other
dachte,thought
da�,that
m�chte,would like to
wirst,will
geh�rt,belongs
wei�t,know
Keine,No
raus,Out
Meine,My
paar,pair
besser,better
ob,if
her,here
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,this
meinem,my
lange,Long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,self
Nur,Just
finden,Find
Mal,Times
jemand,someone
denke,think
Ach,Oh
Nacht,night
genau,exactly
gar,at all
sagt,says
Welt,world
Auf,On
M�dchen,girl
ins,in the
hin,down
vom,from
sch�n,beautiful
warum,Why
weiter,further
Leid,suffering
gleich,equal
wer,who
Man,you
ohne,without
Menschen,People
deinen,your
leid,suffering
Wieso,How so
dort,There
Als,As
Hause,home
sollten,should
davon,from that
zusammen,together
geben,give
Ok,OK
H�r,Listen
machst,doing
Freund,friend
richtig,correct
Angst,anxiety
Bist,are
Tut,does
Mit,With
viele,lots
sieht,looks
Haus,House
tot,dead
sollen,should
ganze,whole
andere,other
getan,done
okay,OK
rein,purely
Diese,These
Moment,moment
bleiben,stay
brauchen,need
Weil,Because
Kinder,children
unter,under
Arbeit,job
F�r,For
Problem,problem
daf�r,for this
Herr,Mr
Haben,To have
wegen,because of
geht's,it's
liebe,love
genug,enough
dabei,there
bringen,bring
Ihre,Your
ne,ne
gegen,against
Wei�t,know
Sag,say
schnell,fast
nun,now
eines,one
brauche,need
Abend,Eve
hatten,had
Jahre,years
Mach,Mach
Bruder,Brothers
Sache,Thing
h�ren,Listen
komm,come over
Sohn,son
seit,since
Morgen,tomorrow
drei,three
steht,stands
Schei�e,crap
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
hei�t,called
OK,OK
Willst,Want
Kopf,head
Hilfe,Help
Familie,family
Geh,go
Baby,infant
Dich,You
Sind,are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,tomorrow
sprechen,speak
Mir,Me
sofort,right away
Kann,can
Hat,Has
Jahren,years
Kind,child
seinen,his
Genau,Exactly
daran,it
Junge,Boy
Minuten,minutes
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,were
Recht,Law
glauben,believe
Warte,Wait
dar�ber,about that
deiner,yours
deinem,your
Ende,end
He,He
Dinge,things
Namen,names
wahr,TRUE
Alle,All
allein,alone
Nat�rlich,Naturally
t�ten,kill
Nichts,Nothing
Wirklich,Really
bekommen,to get
M�nner,Men
vergessen,to forget
Doch,But
dazu,to
gab,gave
sp�ter,later
wusste,knew
Augen,eyes
Dank,thanks
Freunde,friends
Jungs,guys
halten,hold
warten,waiting
Gl�ck,luck
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
sage,legend
gehe,go
komme,get
Dir,to you
mache,make
Von,Of
Uhr,Clock
sehe,see
Teufel,devil
sonst,otherwise
Art,kind
gern,gladly
Liebe,love
jeden,each
ihren,their
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,mach
Gib,Give
vorbei,past
verstehe,understand
danke,thanks
drin,in it
Im,in the
Name,Surname
ganzen,all
Musik,music
w�rden,would
T�r,door
verr�ckt,crazy
solltest,should
denken,think
Noch,Still
dran,tuned
Sieh,Look
lieber,rather
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,latest
Job,job
verloren,lost
wurden,were
kenne,know
Ahnung,idea
seiner,his
Grund,reason
toll,Great
Bis,To
Verdammt,Damn it
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,Very
Hand,hand
darf,may
Dieser,This
Frauen,women
Euch,To you
Idee,idea
runter,down
Macht,Makes
drau�en,outside
lang,long
Land,country
lass,let
Typ,Type
h�tten,had
egal,no matter
arbeiten,work
sp�t,late
stehen,stand
ok,OK
Gute,Quality
gekommen,came
Bei,at
etwa,about
essen,eat
kleine,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,play
Geschichte,history
seinem,his
liegt,lies
sah,saw
Mom,Mom
Seite,page
wenig,little
ruhig,calm
Frage,question
meinst,mean
�berhaupt,at all
fahren,drive
Ganz,All
Essen,eat
Ruhe,Quiet
echt,real
versucht,tries
Kommt,comes
Einen,a
ging,went
Jahr,year
braucht,need
fast,nearly
neue,new
geh,go
ziemlich,quite
anders,different
siehst,see
Polizei,police
Stunden,hours
musste,had to
Spiel,game
gewesen,been
gerne,with pleasure
finde,find
erz�hlt,tells
Tod,death
Ort,place
Chance,chance
bedeutet,means
War,was
sag,say
sagst,say
fragen,ask
letzten,last
sogar,even
ersten,first
Sachen,stuff
Wahrheit,truth
einzige,only one
kurz,short
denen,to those
Kommen,Come
Spa�,fun
Nach,To
oben,above
Mama,mummy
schwer,heavy
Schule,school
je,ever
eben,just
Gesicht,face
bestimmt,certainly
treffen,to meet
niemand,nobody
Woche,week
Entschuldigung,sorry
Sorgen,To care
warte,wait
nat�rlich,Naturally
schlecht,bad
gro�e,size
get�tet,killed
verstehen,understand
hoffe,hope
Ah,Ah
Sei,Be
Zimmer,room
hoch,high
unserer,our
Tage,days
Teil,part
Wann,When
suchen,search
verlassen,leave
zeigen,demonstrate
wollten,wanted to
l�sst,leaves
Wort,word
eins,one
zwischen,between
Woher,Where from
Schatz,sweetheart
Wissen,Knowledge
versuchen,to attempt
K�nnen,Can
Kannst,Can
nett,kind
Zu,To
kriegen,Obtain
Geht,going
Arsch,ass
kleinen,small
Hab,hab
weiss,White
erste,first
l�uft,running
kommst,coming
Freundin,girlfriend
Mensch,human
beiden,both
Ding,thing
niemals,No way
endlich,at last
Nimm,take
mu�,got to
gehst,going
Heute,today
denkst,think
Herz,heart
Waffe,weapon
Soll,Should
tust,do
Dollar,dollar
nehme,take
Schau,show
holen,to fetch
oft,often
drauf,it
anderes,other
Niemand,Nobody
unten,below
Wagen,dare
Yeah,yeah
Sch�n,Nice
wichtig,important
Mrs,mrs
h�ttest,had
allen,all
Miss,Miss
ihrer,of their
gedacht,thought
Nummer,number
w�rdest,would
erz�hlen,tell
bleibt,remains
Auch,Also
H�nde,hands
Blut,blood
Sehen,See
blo�,just
bringt,brings
Bett,bed
Lassen,To let
Eltern,parents
gef�llt,like
Schuld,fault
eure,your
Plan,plan
Krieg,war
neuen,new
Klar,Clear
retten,rescue
guter,goods
w�hrend,while
ihrem,their
w�ren,would
Fehler,error
scheint,seems
Lasst,Leaves
gegeben,given
An,At
h�r,hear
gl�cklich,happy
verdammt,damned
alt,old
Platz,place
darum,therefore
Vielen,a lot of
falsch,not correct
unseren,our
schlafen,sleep
Sagen,Say
n�chsten,next
f�nf,five
frei,free
Sorge,worry
Vor,In front
fest,firmly
bereits,already
Denn,Because
Zwei,Two
Fragen,ask
m�glich,possible
irgendwie,somehow
Papa,father
lernen,learn
gestern,yesterday
hierher,here
Schiff,ship
vier,four
irgendwas,anything
Stimmt,Right
Menge,quantity
keiner,none
brauchst,need
Typen,types
Dass,That
Stunde,hour
Szene,scene
H�lle,hell
einige,some
Deshalb,Therefore
geworden,become
Telefon,phone
Darf,May
Feuer,Fire
Wollen,Want
Bin,am
Alter,Age
Captain,Captain
Aus,Out
Dieses,This
Probleme,issues
Jeder,Everyone
verstanden,Roger that
wann,when
alten,old
gibt's,there's
sondern,rather
guten,good
zwar,though
eigenen,own
New,New
K�rper,body
h�rt,hears
Zum,To the
gebe,give
Kumpel,Dude
Hund,dog
nochmal,again
hab's,got it
fr�h,early
H�ren,Listen
trinken,drink
besten,best
meines,mine
schaffen,create
alte,old
Luft,air
Jemand,Someone
d�rfen,allowed to
Meister,master
Erde,earth
Seit,since
Sicher,For sure
H�rt,hear
Zukunft,future
kaum,barely
funktioniert,is working
voll,full
Bleib,Stay
reicht,enough
weh,sore
stellen,put
Siehst,See
kleiner,smaller
gro�en,huge
Waffen,weapons
B�ro,office
Wahl,choice
verlieren,to lose
Wochen,weeks
Damit,In order to
St�ck,piece
lieben,love
allem,all
getroffen,met
�h,um
Am,At the
geschafft,made
tue,do
gefallen,like
Tja,Well
Boss,boss
�berall,all over
Sieht,looks
passieren,happen
lustig,funny
Licht,light
gebracht,brought
nennen,call
Folge,episode
Gef�hl,feeling
v�llig,completely
denkt,thinks
dr�ben,over there
Richtig,Correct
wieso,how so
Leuten,people
Buch,book
laufen,to run
spielt,plays
fr�her,earlier
Sein,Be
krank,ill
gegangen,went
fand,found
Seine,His
Pass,passport
f�hle,feel
Himmel,sky
froh,glad
leicht,light
direkt,directly
langsam,slowly
wolltest,wanted
erinnern,recall
zuerst,first
Krankenhaus,hospital
Viel,Much
beste,best
welche,Which
genommen,took
Arzt,doctor
unserem,our
Idiot,idiot
Machen,Do
glaubst,think
jede,each
Ohne,Without
gro�,large
hattest,had
�h,um
Jungen,Boys
Rest,rest
Unsere,Our
versuche,tries
Tagen,meet
n�chste,next
Entschuldigen,To apologize
Doktor,doctor
spricht,speaks
k�nnt,can
h�lt,keeps
Team,team
Verstanden,Roger that
k�mpfen,fight
heiraten,marry
k�nntest,could
Wow,Wow
Etwas,Something
Stra�e,road
Mist,Damn
K�nig,king
redest,talking about
kleines,small
lebt,lives
erkl�ren,to explain
worden,been
Millionen,millions
Wiedersehen,meet again
Onkel,uncle
kennst,know
sitzen,to sit
dies,this
weniger,Less
Kaffee,coffee
ernst,serious
wollt,want
tragen,wear
Zeug,stuff
trotzdem,Nevertheless
Ihren,Their
kaufen,to buy
Liste,list
�ndern,to change
Kampf,struggle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Pr�sident,president
Boden,ground
Wohin,Where
machte,made
Party,party
gefragt,asked
Seht,Look
irgendwo,somewhere
k�mmern,To take care of
kennt,knows
verletzt,injured
Habt,Have
Nachricht,message
Willkommen,welcome
vielen,a lot of
hart,hard
lasse,leave
total,total
Gef�ngnis,jail
au�er,except
Sicherheit,security
Schnell,Fast
wem,whom
ehrlich,honest
interessiert,Interested
Sex,sex
sagten,said
ziehen,pull
Welche,Which
Unser,Our
Augenblick,moment
angerufen,called
aufh�ren,stop
Klasse,class
Bild,picture
stark,strongly
Dies,This
Eure,Your
zehn,ten
Sinn,sense
vorstellen,to introduce
Traum,dream
l�nger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,shalt
gestorben,died
Tages,day
war's,was it
verschwinden,disappear
Kraft,force
gesprochen,spoken
heraus,out
genauso,just like that
w�rst,'d
Eins,one
damals,back then
hei�en,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,therefore
Stelle,Job
halt,stop
erwartet,expected
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,voice
General,general
Geben,Give
Entschuldige,Excuse me
Vergiss,forget
rede,speech
f�hren,to lead
Bewegung,Move
h�re,hear
Sonst,Otherwise
Gesch�ft,business
werdet,will
konnten,could
wartet,waiting
Raus,Out
