Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,014618,2020,01,01,25.1
IDCJAC0016,014618,2020,01,02,27.5
IDCJAC0016,014618,2020,01,03,24.7
IDCJAC0016,014618,2020,01,04,26.0
IDCJAC0016,014618,2020,01,05,26.9
IDCJAC0016,014618,2020,01,06,23.7
IDCJAC0016,014618,2020,01,07,25.3
IDCJAC0016,014618,2020,01,08,22.1
IDCJAC0016,014618,2020,01,09,23.1
IDCJAC0016,014618,2020,01,10,22.7
IDCJAC0016,014618,2020,01,11,27.2
IDCJAC0016,014618,2020,01,12,26.3
IDCJAC0016,014618,2020,01,13,24.9
IDCJAC0016,014618,2020,01,14,27.7
IDCJAC0016,014618,2020,01,15,26.1
IDCJAC0016,014618,2020,01,16,27.0
IDCJAC0016,014618,2020,01,17,27.3
IDCJAC0016,014618,2020,01,18,29.0
IDCJAC0016,014618,2020,01,19,27.4
IDCJAC0016,014618,2020,01,20,19.1
IDCJAC0016,014618,2020,01,21,23.3
IDCJAC0016,014618,2020,01,22,10.6
IDCJAC0016,014618,2020,01,23,14.8
IDCJAC0016,014618,2020,01,24,21.3
IDCJAC0016,014618,2020,01,25,17.4
IDCJAC0016,014618,2020,01,26,26.9
IDCJAC0016,014618,2020,01,27,26.2
IDCJAC0016,014618,2020,01,28,27.2
IDCJAC0016,014618,2020,01,29,22.9
IDCJAC0016,014618,2020,01,30,28.0
IDCJAC0016,014618,2020,01,31,21.2
IDCJAC0016,014618,2020,02,01,26.5
IDCJAC0016,014618,2020,02,02,15.2
IDCJAC0016,014618,2020,02,03,23.5
IDCJAC0016,014618,2020,02,04,27.4
IDCJAC0016,014618,2020,02,05,27.3
IDCJAC0016,014618,2020,02,06,19.7
IDCJAC0016,014618,2020,02,07,24.8
IDCJAC0016,014618,2020,02,08,24.8
IDCJAC0016,014618,2020,02,09,28.7
IDCJAC0016,014618,2020,02,10,28.4
IDCJAC0016,014618,2020,02,11,26.5
IDCJAC0016,014618,2020,02,12,26.3
IDCJAC0016,014618,2020,02,13,28.6
IDCJAC0016,014618,2020,02,14,28.6
IDCJAC0016,014618,2020,02,15,28.6
IDCJAC0016,014618,2020,02,16,28.0
IDCJAC0016,014618,2020,02,17,27.2
IDCJAC0016,014618,2020,02,18,26.3
IDCJAC0016,014618,2020,02,19,25.5
IDCJAC0016,014618,2020,02,20,25.8
IDCJAC0016,014618,2020,02,21,27.8
IDCJAC0016,014618,2020,02,22,27.6
IDCJAC0016,014618,2020,02,23,27.3
IDCJAC0016,014618,2020,02,24,22.7
IDCJAC0016,014618,2020,02,25,10.1
IDCJAC0016,014618,2020,02,26,10.4
IDCJAC0016,014618,2020,02,27,8.0
IDCJAC0016,014618,2020,02,28,23.7
IDCJAC0016,014618,2020,02,29,27.1
IDCJAC0016,014618,2020,03,01,26.3
IDCJAC0016,014618,2020,03,02,18.5
IDCJAC0016,014618,2020,03,03,21.0
IDCJAC0016,014618,2020,03,04,24.6
IDCJAC0016,014618,2020,03,05,23.6
IDCJAC0016,014618,2020,03,06,23.7
IDCJAC0016,014618,2020,03,07,26.0
IDCJAC0016,014618,2020,03,08,25.9
IDCJAC0016,014618,2020,03,09,27.0
IDCJAC0016,014618,2020,03,10,26.9
IDCJAC0016,014618,2020,03,11,26.8
IDCJAC0016,014618,2020,03,12,26.7
IDCJAC0016,014618,2020,03,13,26.6
IDCJAC0016,014618,2020,03,14,26.5
IDCJAC0016,014618,2020,03,15,25.4
IDCJAC0016,014618,2020,03,16,26.4
IDCJAC0016,014618,2020,03,17,25.4
IDCJAC0016,014618,2020,03,18,24.9
IDCJAC0016,014618,2020,03,19,24.4
IDCJAC0016,014618,2020,03,20,26.0
IDCJAC0016,014618,2020,03,21,24.1
IDCJAC0016,014618,2020,03,22,24.9
IDCJAC0016,014618,2020,03,23,24.8
IDCJAC0016,014618,2020,03,24,23.7
IDCJAC0016,014618,2020,03,25,20.5
IDCJAC0016,014618,2020,03,26,23.3
IDCJAC0016,014618,2020,03,27,22.6
IDCJAC0016,014618,2020,03,28,24.9
IDCJAC0016,014618,2020,03,29,24.9
IDCJAC0016,014618,2020,03,30,24.7
IDCJAC0016,014618,2020,03,31,24.7
IDCJAC0016,014618,2020,04,01,23.9
IDCJAC0016,014618,2020,04,02,24.2
IDCJAC0016,014618,2020,04,03,21.3
IDCJAC0016,014618,2020,04,04,22.1
IDCJAC0016,014618,2020,04,05,22.4
IDCJAC0016,014618,2020,04,06,23.2
IDCJAC0016,014618,2020,04,07,20.1
IDCJAC0016,014618,2020,04,08,22.1
IDCJAC0016,014618,2020,04,09,21.5
IDCJAC0016,014618,2020,04,10,12.6
IDCJAC0016,014618,2020,04,11,19.5
IDCJAC0016,014618,2020,04,12,23.4
IDCJAC0016,014618,2020,04,13,22.9
IDCJAC0016,014618,2020,04,14,23.3
IDCJAC0016,014618,2020,04,15,23.2
IDCJAC0016,014618,2020,04,16,23.0
IDCJAC0016,014618,2020,04,17,21.7
IDCJAC0016,014618,2020,04,18,22.8
IDCJAC0016,014618,2020,04,19,22.7
IDCJAC0016,014618,2020,04,20,22.6
IDCJAC0016,014618,2020,04,21,22.5
IDCJAC0016,014618,2020,04,22,22.4
IDCJAC0016,014618,2020,04,23,22.3
IDCJAC0016,014618,2020,04,24,22.1
IDCJAC0016,014618,2020,04,25,22.1
IDCJAC0016,014618,2020,04,26,21.6
IDCJAC0016,014618,2020,04,27,21.5
IDCJAC0016,014618,2020,04,28,21.8
IDCJAC0016,014618,2020,04,29,21.6
IDCJAC0016,014618,2020,04,30,21.4
IDCJAC0016,014618,2020,05,01,21.4
IDCJAC0016,014618,2020,05,02,21.3
IDCJAC0016,014618,2020,05,03,21.2
IDCJAC0016,014618,2020,05,04,20.4
IDCJAC0016,014618,2020,05,05,18.8
IDCJAC0016,014618,2020,05,06,20.8
IDCJAC0016,014618,2020,05,07,20.8
IDCJAC0016,014618,2020,05,08,19.9
IDCJAC0016,014618,2020,05,09,19.5
IDCJAC0016,014618,2020,05,10,20.5
IDCJAC0016,014618,2020,05,11,20.4
IDCJAC0016,014618,2020,05,12,20.3
IDCJAC0016,014618,2020,05,13,20.2
IDCJAC0016,014618,2020,05,14,20.2
IDCJAC0016,014618,2020,05,15,19.9
IDCJAC0016,014618,2020,05,16,19.9
IDCJAC0016,014618,2020,05,17,19.9
IDCJAC0016,014618,2020,05,18,19.8
IDCJAC0016,014618,2020,05,19,18.1
IDCJAC0016,014618,2020,05,20,15.6
IDCJAC0016,014618,2020,05,21,6.8
IDCJAC0016,014618,2020,05,22,9.4
IDCJAC0016,014618,2020,05,23,19.4
IDCJAC0016,014618,2020,05,24,19.5
IDCJAC0016,014618,2020,05,25,19.5
IDCJAC0016,014618,2020,05,26,19.4
IDCJAC0016,014618,2020,05,27,19.4
IDCJAC0016,014618,2020,05,28,19.3
IDCJAC0016,014618,2020,05,29,19.2
IDCJAC0016,014618,2020,05,30,19.2
IDCJAC0016,014618,2020,05,31,19.1
IDCJAC0016,014618,2020,06,01,19.1
IDCJAC0016,014618,2020,06,02,19.0
IDCJAC0016,014618,2020,06,03,19.0
IDCJAC0016,014618,2020,06,04,19.0
IDCJAC0016,014618,2020,06,05,18.9
IDCJAC0016,014618,2020,06,06,18.6
IDCJAC0016,014618,2020,06,07,18.6
IDCJAC0016,014618,2020,06,08,18.8
IDCJAC0016,014618,2020,06,09,17.9
IDCJAC0016,014618,2020,06,10,18.4
IDCJAC0016,014618,2020,06,11,16.8
IDCJAC0016,014618,2020,06,12,18.7
IDCJAC0016,014618,2020,06,13,18.7
IDCJAC0016,014618,2020,06,14,18.7
IDCJAC0016,014618,2020,06,15,18.7
IDCJAC0016,014618,2020,06,16,18.6
IDCJAC0016,014618,2020,06,17,18.6
IDCJAC0016,014618,2020,06,18,18.6
IDCJAC0016,014618,2020,06,19,18.6
IDCJAC0016,014618,2020,06,20,17.6
IDCJAC0016,014618,2020,06,21,18.6
IDCJAC0016,014618,2020,06,22,18.6
IDCJAC0016,014618,2020,06,23,18.6
IDCJAC0016,014618,2020,06,24,18.6
IDCJAC0016,014618,2020,06,25,18.6
IDCJAC0016,014618,2020,06,26,18.6
IDCJAC0016,014618,2020,06,27,18.6
IDCJAC0016,014618,2020,06,28,18.6
IDCJAC0016,014618,2020,06,29,18.6
IDCJAC0016,014618,2020,06,30,18.7
IDCJAC0016,014618,2020,07,01,18.7
IDCJAC0016,014618,2020,07,02,18.7
IDCJAC0016,014618,2020,07,03,17.1
IDCJAC0016,014618,2020,07,04,18.8
IDCJAC0016,014618,2020,07,05,18.3
IDCJAC0016,014618,2020,07,06,18.8
IDCJAC0016,014618,2020,07,07,18.9
IDCJAC0016,014618,2020,07,08,18.9
IDCJAC0016,014618,2020,07,09,18.9
IDCJAC0016,014618,2020,07,10,19.0
IDCJAC0016,014618,2020,07,11,18.9
IDCJAC0016,014618,2020,07,12,19.0
IDCJAC0016,014618,2020,07,13,19.1
IDCJAC0016,014618,2020,07,14,19.1
IDCJAC0016,014618,2020,07,15,19.2
IDCJAC0016,014618,2020,07,16,19.2
IDCJAC0016,014618,2020,07,17,19.3
IDCJAC0016,014618,2020,07,18,19.3
IDCJAC0016,014618,2020,07,19,19.4
IDCJAC0016,014618,2020,07,20,19.0
IDCJAC0016,014618,2020,07,21,19.5
IDCJAC0016,014618,2020,07,22,19.6
IDCJAC0016,014618,2020,07,23,19.6
IDCJAC0016,014618,2020,07,24,19.7
IDCJAC0016,014618,2020,07,25,19.7
IDCJAC0016,014618,2020,07,26,19.8
IDCJAC0016,014618,2020,07,27,19.8
IDCJAC0016,014618,2020,07,28,19.9
IDCJAC0016,014618,2020,07,29,20.0
IDCJAC0016,014618,2020,07,30,20.0
IDCJAC0016,014618,2020,07,31,20.1
IDCJAC0016,014618,2020,08,01,20.3
IDCJAC0016,014618,2020,08,02,20.3
IDCJAC0016,014618,2020,08,03,20.4
IDCJAC0016,014618,2020,08,04,20.4
IDCJAC0016,014618,2020,08,05,19.9
IDCJAC0016,014618,2020,08,06,18.7
IDCJAC0016,014618,2020,08,07,20.4
IDCJAC0016,014618,2020,08,08,20.7
IDCJAC0016,014618,2020,08,09,20.6
IDCJAC0016,014618,2020,08,10,
IDCJAC0016,014618,2020,08,11,21.0
IDCJAC0016,014618,2020,08,12,21.1
IDCJAC0016,014618,2020,08,13,21.1
IDCJAC0016,014618,2020,08,14,19.7
IDCJAC0016,014618,2020,08,15,20.8
IDCJAC0016,014618,2020,08,16,20.5
IDCJAC0016,014618,2020,08,17,21.5
IDCJAC0016,014618,2020,08,18,21.6
IDCJAC0016,014618,2020,08,19,21.7
IDCJAC0016,014618,2020,08,20,21.7
IDCJAC0016,014618,2020,08,21,21.8
IDCJAC0016,014618,2020,08,22,21.9
IDCJAC0016,014618,2020,08,23,22.0
IDCJAC0016,014618,2020,08,24,22.1
IDCJAC0016,014618,2020,08,25,22.1
IDCJAC0016,014618,2020,08,26,22.2
IDCJAC0016,014618,2020,08,27,22.3
IDCJAC0016,014618,2020,08,28,22.4
IDCJAC0016,014618,2020,08,29,22.4
IDCJAC0016,014618,2020,08,30,22.5
IDCJAC0016,014618,2020,08,31,20.7
IDCJAC0016,014618,2020,09,01,23.0
IDCJAC0016,014618,2020,09,02,23.1
IDCJAC0016,014618,2020,09,03,23.2
IDCJAC0016,014618,2020,09,04,23.3
IDCJAC0016,014618,2020,09,05,23.3
IDCJAC0016,014618,2020,09,06,23.5
IDCJAC0016,014618,2020,09,07,23.5
IDCJAC0016,014618,2020,09,08,23.6
IDCJAC0016,014618,2020,09,09,23.7
IDCJAC0016,014618,2020,09,10,23.7
IDCJAC0016,014618,2020,09,11,23.8
IDCJAC0016,014618,2020,09,12,23.8
IDCJAC0016,014618,2020,09,13,23.9
IDCJAC0016,014618,2020,09,14,24.0
IDCJAC0016,014618,2020,09,15,23.9
IDCJAC0016,014618,2020,09,16,23.9
IDCJAC0016,014618,2020,09,17,23.2
IDCJAC0016,014618,2020,09,18,23.2
IDCJAC0016,014618,2020,09,19,23.7
IDCJAC0016,014618,2020,09,20,23.0
IDCJAC0016,014618,2020,09,21,24.5
IDCJAC0016,014618,2020,09,22,19.9
IDCJAC0016,014618,2020,09,23,23.5
IDCJAC0016,014618,2020,09,24,21.8
IDCJAC0016,014618,2020,09,25,23.5
IDCJAC0016,014618,2020,09,26,21.2
IDCJAC0016,014618,2020,09,27,13.3
IDCJAC0016,014618,2020,09,28,25.4
IDCJAC0016,014618,2020,09,29,25.7
IDCJAC0016,014618,2020,09,30,25.5
IDCJAC0016,014618,2020,10,01,24.4
IDCJAC0016,014618,2020,10,02,26.1
IDCJAC0016,014618,2020,10,03,26.6
IDCJAC0016,014618,2020,10,04,26.6
IDCJAC0016,014618,2020,10,05,
IDCJAC0016,014618,2020,10,06,
IDCJAC0016,014618,2020,10,07,15.3
IDCJAC0016,014618,2020,10,08,24.8
IDCJAC0016,014618,2020,10,09,25.6
IDCJAC0016,014618,2020,10,10,27.3
IDCJAC0016,014618,2020,10,11,27.4
IDCJAC0016,014618,2020,10,12,27.4
IDCJAC0016,014618,2020,10,13,27.5
IDCJAC0016,014618,2020,10,14,27.5
IDCJAC0016,014618,2020,10,15,25.5
IDCJAC0016,014618,2020,10,16,22.5
IDCJAC0016,014618,2020,10,17,25.8
IDCJAC0016,014618,2020,10,18,25.4
IDCJAC0016,014618,2020,10,19,26.1
IDCJAC0016,014618,2020,10,20,22.9
IDCJAC0016,014618,2020,10,21,17.7
IDCJAC0016,014618,2020,10,22,26.9
IDCJAC0016,014618,2020,10,23,20.1
IDCJAC0016,014618,2020,10,24,25.6
IDCJAC0016,014618,2020,10,25,27.9
IDCJAC0016,014618,2020,10,26,22.8
IDCJAC0016,014618,2020,10,27,26.5
IDCJAC0016,014618,2020,10,28,25.5
IDCJAC0016,014618,2020,10,29,28.5
IDCJAC0016,014618,2020,10,30,28.5
IDCJAC0016,014618,2020,10,31,28.0
IDCJAC0016,014618,2020,11,01,28.7
IDCJAC0016,014618,2020,11,02,28.7
IDCJAC0016,014618,2020,11,03,28.5
IDCJAC0016,014618,2020,11,04,27.8
IDCJAC0016,014618,2020,11,05,27.2
IDCJAC0016,014618,2020,11,06,28.2
IDCJAC0016,014618,2020,11,07,20.9
IDCJAC0016,014618,2020,11,08,28.9
IDCJAC0016,014618,2020,11,09,25.6
IDCJAC0016,014618,2020,11,10,28.2
IDCJAC0016,014618,2020,11,11,26.8
IDCJAC0016,014618,2020,11,12,25.6
IDCJAC0016,014618,2020,11,13,26.8
IDCJAC0016,014618,2020,11,14,27.6
IDCJAC0016,014618,2020,11,15,26.0
IDCJAC0016,014618,2020,11,16,27.3
IDCJAC0016,014618,2020,11,17,14.1
IDCJAC0016,014618,2020,11,18,25.4
IDCJAC0016,014618,2020,11,19,26.5
IDCJAC0016,014618,2020,11,20,24.4
IDCJAC0016,014618,2020,11,21,24.4
IDCJAC0016,014618,2020,11,22,27.3
IDCJAC0016,014618,2020,11,23,26.8
IDCJAC0016,014618,2020,11,24,26.2
IDCJAC0016,014618,2020,11,25,26.2
IDCJAC0016,014618,2020,11,26,28.3
IDCJAC0016,014618,2020,11,27,25.9
IDCJAC0016,014618,2020,11,28,24.0
IDCJAC0016,014618,2020,11,29,26.5
IDCJAC0016,014618,2020,11,30,27.6
IDCJAC0016,014618,2020,12,01,26.8
IDCJAC0016,014618,2020,12,02,21.4
IDCJAC0016,014618,2020,12,03,25.1
IDCJAC0016,014618,2020,12,04,26.7
IDCJAC0016,014618,2020,12,05,28.3
IDCJAC0016,014618,2020,12,06,26.2
IDCJAC0016,014618,2020,12,07,28.1
IDCJAC0016,014618,2020,12,08,26.1
IDCJAC0016,014618,2020,12,09,22.9
IDCJAC0016,014618,2020,12,10,27.0
IDCJAC0016,014618,2020,12,11,26.7
IDCJAC0016,014618,2020,12,12,18.6
IDCJAC0016,014618,2020,12,13,16.9
IDCJAC0016,014618,2020,12,14,21.6
IDCJAC0016,014618,2020,12,15,28.7
IDCJAC0016,014618,2020,12,16,24.9
IDCJAC0016,014618,2020,12,17,25.0
IDCJAC0016,014618,2020,12,18,15.9
IDCJAC0016,014618,2020,12,19,9.1
IDCJAC0016,014618,2020,12,20,19.2
IDCJAC0016,014618,2020,12,21,22.0
IDCJAC0016,014618,2020,12,22,19.2
IDCJAC0016,014618,2020,12,23,19.5
IDCJAC0016,014618,2020,12,24,20.1
IDCJAC0016,014618,2020,12,25,11.6
IDCJAC0016,014618,2020,12,26,28.8
IDCJAC0016,014618,2020,12,27,22.0
IDCJAC0016,014618,2020,12,28,24.3
IDCJAC0016,014618,2020,12,29,18.7
IDCJAC0016,014618,2020,12,30,22.2
IDCJAC0016,014618,2020,12,31,24.7
